RP,LOTE,NAC,DEST,HL,18M,PA_V,CE,AOB,EGS,MARB
1119,C1,0.99,21.74,-5.08,21.79,26.86,0.29,0.712,-0.064,0.016
1142,C3,0.92,20.54,-2.49,23.08,22.62,0.5,2.096,0.023,0.001
1144,8,-0.11,24.71,-2.06,29.62,S/D,0.09,2.407,0.021,S/D
1148,1,0.39,13.52,-2.04,14.31,15.32,0.11,1.802,0.041,-0.019
1149,4,0.82,16.14,-0.67,24.07,S/D,0.09,2.507,0.032,S/D
1150,1,-0.78,32.11,-0.28,43.61,39.76,S/D,1.689,-0.003,0.065
1151,6,0.19,17.41,-1.7,22.95,23.23,S/D,0.396,0.05,0.05
1153,2,-0.48,27.32,1.95,40.91,35.06,S/D,2.416,-0.012,0.03
1155,4,0.86,21.67,10,50.96,40.27,S/D,3.348,0.006,-0.038
1157,3,0.02,34.33,2.19,50.7,40.89,S/D,4.946,0.054,0.004
1161,3,0.55,19.3,-0.71,28.02,27.67,S/D,1.93,0.046,-0.003
1166,5,0.3,26.23,3.84,44.31,42.23,S/D,1.934,-0.023,0.007
1167,6,1.78,26.7,-8.88,16.88,28.26,0.56,0.223,-0.068,0.022
1175,2,1.83,24.98,-2.42,31.23,32.46,S/D,1.928,0.022,0.027
1182,18,0.61,18.55,-5.58,11.17,16.14,-0.07,0.031,-0.035,0.024
1183,2,-0.45,26.14,0.62,37.54,35.61,S/D,2.25,0.071,0.072
1184,7,0.89,17.33,5.35,38.49,39.17,S/D,2.791,0.001,S/D
1188,6,-1.68,23.16,2.78,39.41,30.87,S/D,5.167,0.044,-0.063
1191,1,-0.34,21.61,6.92,46.43,37.33,S/D,2.449,0.013,0.013
1196,19,0.26,14.18,-0.07,19.43,21.56,0.39,0.195,-0.029,-0.028
1197,8,0.55,22.34,1.47,34.53,31.52,1,1.735,0.063,0.04
1199,9,1.61,26.63,-8.73,19.82,27.97,S/D,2.022,0.007,0.027
1201,4,0.49,12.38,4.86,29.61,27.16,0.58,1.245,0.022,-0.014
1204,17,0.87,25.56,-4.31,26.03,24.42,S/D,1.609,0.065,0.083
1205,7,1.6,27.53,-5.14,25.38,31.62,0.42,0.809,-0.091,-0.015
1206,9,1.4,20.95,-2.94,22.92,21.1,S/D,2.612,0.049,-0.019
1208,6,-0.5,23.28,3.04,38.83,33.94,S/D,2.756,-0.027,-0.017
1210,19,1.77,16.06,-3.03,17.64,23.12,S/D,1.059,0.051,0.02
1211,18,0.48,23.61,-0.27,31.21,29.47,0.53,1.088,0.044,0.082
1212,17,2.54,19.94,-3.99,18.47,23.16,0.48,-0.872,-0.008,0.079
1214,7,0.02,12.36,3.25,22.08,17.36,0.52,1.054,0.043,-0.001
1218,8,0.7,17.13,3.16,33.88,30.93,0.68,2.489,-0.012,-0.055
1219,18,0.05,8.72,1.63,14.89,16.11,0.86,0.385,0.021,-0.005
1220,5,1.95,20.43,0.2,30.24,31,0.75,-1.354,-0.07,0.071
1222,20,0.61,18.41,-4.97,14.64,17.31,0.7,1.623,0.061,0.052
1224,3,0.72,20.3,-1.62,24.85,23.45,0.47,0.409,-0.007,0.044
1229,20,0.55,9.97,0.96,16.14,22.31,0.79,0.032,-0.038,-0.019
1230,20,-0.09,9.55,-2.68,10.79,18.1,0.91,0.414,-0.068,-0.072
1231,5,2.52,19.59,7.35,40.73,37.69,0.77,1.68,0.122,0.05
1233,18,2.36,17.15,6.14,40.32,37.41,0.65,2.727,-0.019,-0.089
1235,17,1.86,17.44,-2.53,19.05,22.63,0.83,0.379,0.008,0.028
1236,5,1.2,21.43,0.17,30.81,29.01,0.54,1.011,0.007,0.027
1237,9,1.46,17.46,1.39,26.77,25.39,0.5,0.913,-0.012,-0.003
1242,3,1.13,13.32,4.77,33.78,35.92,0.69,1.966,-0.035,-0.072
1246,1,0.31,15.36,4.66,31.12,27.78,0.6,2.373,0.037,-0.024
1248,7,0.27,17.28,6.67,39.11,35.57,0.59,2.705,0.065,-0.021
1250,17,-0.13,4.31,-2.43,-0.15,4.65,0.62,0.11,0.054,0.037
1252,19,1.34,9.59,1.9,19.4,24.19,0.76,-0.044,-0.003,0.01
1258,4,2.15,23.72,-0.96,31.66,35.98,0.35,3.048,0.028,-0.026
1260,20,0.08,10.12,-4.02,5.09,8.72,0.48,1.201,-0.056,-0.086
1261,2,0.25,9.08,5.15,22.39,17.02,0.42,2.33,0.057,-0.048
1262,20,-0.03,1.98,1.53,8.33,10.29,0.43,0.921,0.03,-0.037
1264,19,0.18,8.17,3.87,18.03,15.64,0.52,0.77,0,-0.026
1268,22,0.49,15.31,-2.88,16.07,S/D,0.05,0.653,-0.1,S/D
1271,21,1,18.89,-2.95,20.92,S/D,0.39,2.427,-0.039,S/D
1276,21,1.02,19.63,-0.25,27.37,S/D,S/D,S/D,S/D,S/D
1278,21,1,18.89,-2.95,20.92,S/D,0.39,2.427,-0.039,S/D
1281,C5,0.82,20.77,-1.32,25.87,S/D,0.57,S/D,S/D,S/D
1301,22,0.42,18.33,-1.75,23.11,20.36,0.46,0.359,-0.081,S/D
1305,22,-0.54,11.27,-1.41,15.14,15.97,0.5,0.508,-0.003,S/D
1306,22,0.72,15.19,-2.2,16.57,16.19,0.24,0.278,-0.051,S/D
1310,21,0.34,21.87,-4.77,21.64,25.65,0.75,0.61,-0.068,S/D