Lote,Categoria para Campo TV,RP,,,,,,
1,Vacas PPI con cria,468,907,1051,3371 TE,5988,8999 TE,
2,Vacas PPI con cria,758,967,1049,1108,,,
3,Vacas PPI y SA con cria,794,894,2288,2328 TE,4198 TE,9767,
4,Vacas PPI con cria,449,9379,9408 TE,9504,,,
5,Vacas PPI con cria H,148,728,944,958,1121,7823,10027 TE
6,Vacas PPI y SA con cria M,136,926,951,979,1041,10039,
7,Vacas PPI pr칩ximas,120 TE,298,915,1005,1006,1045,9416
8,Vaquillonas Pre침adas,1162,1166,1193,,,,
9,Vaquillonas SA Pre침adas,,,,,,,
10,Vientres SA Pre침ados,,,,,,,