RP,Nombre,Fecha Nac.,PADRE,CE,KG
1606,OBT EXPERTISE 1606,23/10/2021,EXPERTISE ,40,624
1607,OBT BLUE PRINT 1607,7/10/2021,BLUE PRINT,41,694
1609,OBT SERRUCHO 1609,15/10/2021,SERRUCHO,39,573
1611,OBT RESOURCE 1611,8/10/2021,RESOURCE,40,690
1612,OBT EURO 1612,10/10/2021,EURO,40,622
1614,OBT BLUE PRINT 1614,10/10/2021,BLUE PRINT,41,688
1617,OBT SERRUCHO 1617,12/11/2021,SERRUCHO,41.5,676
1619,OBT CHARLO 1619,11/11/2021,CHARLO,42,617
1624,OBT CHARLO 1624,13/11/2021,CHARLO,37.5,708
1625,OBT CHARLO 1625,13/11/2021,CHARLO,43.5,688
1627,OBT CAPITALIST 316,14/10/2021,CAPITALIST 316,40,668
1628,OBT RAINFALL 1628,14/10/2021,RAINFALL,40,656
1633,OBT ASHLAND 1633,16/10/2021,ASHLAND,40,607
1635,OBT FLAT TOP 1635,17/10/2021,FLAT TOP,39,640
1637,OBT ASHLAND 1637,17/10/2021,ASHLAND,41,652
1638,OBT EURO 1638,17/10/2021,EURO,40.5,616
1640,OBT EXPERTISE 1640,21/10/2021,EXPERTISE ,40,640
1642,OBT EXPERTISE 1642,22/10/2021,EXPERTISE,35,603
1644,OBT FLAT TOP 1644,18/10/2021,FLAT TOP,43,716
1645,OBT FLAT TOP 1645,9/11/2021,FLAT TOP,41.5,618
1647,OBT EURO 1647,19/10/2021,EURO,40.5,670
1648,OBT FLAT TOP ,20/10/2021,FLAT TOP,40.5,664
1652,OBT BLUE PRINT 1652,20/10/2021,BLUE PRINT,39,648
1654,OBT BLUE PRINT 1654,13/11/2021,BLUE PRINT,40,690
1657,OBT ASHLAND 1657,14/11/2021,ASHLAND,44,738
1658,OBT RAINFALL 1658,20/10/2021,RAINFALL,42,676
1661,OBT SERRUCHO 1661,16/10/2021,SERRUCHO,44,664
1669,OBT SERRUCHO 1669,27/10/2021,SERRUCHO,41.5,700
1670,OBT ASHLAND 1670,27/10/2021,ASHLAND,38,666
1672,OBT CHARLO 1672,27/10/2021,CHARLO,40,638
1674,OBT CHARLO 1674,28/10/2021,CHARLO,38,626
1675,OBT TAHOE 1675,30/10/2021,TAHOE,40,642
1677,OBT TAHOE 1677,30/10/2021,TAHOE,40,652
1678,OBT TAHOE 1678,20/10/2021,TAHOE,43,664
1686,OBT CHARLO 1686,31/10/2021,CHARLO,41,702
1687,OBT TAHOE 1687 ,31/10/2021,TAHOE,40,676
1688,OBT CHARLO 1688,30/10/2021,CHARLO,41,700
1699,OBT SERRUCHO 1699,22/10/2021,SERRUCHO,40,632
1704,OBT ASHLAND 1704,9/1/2022,ASHLAND,37,579
1706,OBT ASHLAND 1706,12/1/2022,ASHLAND,39,580
1709,OBT ASHLAND 1709,29/1/2022,ASHLAND,40.5,561
1712,OBT ASHLAND 1712,29/1/2022,ASHLAND,39,551
1498,OBT LIDER 1498,9/11/2020,LIDER,40.5,732
1528,OBT LIDER 1528,2/11/2020,LIDER,40,744
1558,OBT REIGN 1558,12/11/2020,REIGN,40,738
1578,OBT CHARLO 1578,30/12/2020,CHARLO,41,732
1599,OBT 661 BISMARCK,22/4/2021,OBT 661,40,612
1602,OBT 736 RESOURCE,11/4/2021,OBT 736 ,39,606