LOTE,RP,FPd,PN,PD,18m,PAV,AOB,GR,CE
4,15850,6.5,0.1,26.4,51.3,41.5,3.10,1.07,1.3
4,15876,-4.3,2.7,28.2,48,47.2,2.71,0.56,1
6,15572,5.2,1,23.9,47.7,51.1,2.39,0.81,0.9
6,15511,4,0.7,24.4,43.6,48.3,2.90,0.56,0.9
6,15588,1,1.6,24.4,47.6,30.6,3.35,1.07,1.5
9,15737,5.1,1,24.2,46.7,42.1,3.03,0.81,1.1
9,15745,1.5,1.7,25.2,49.5,43.7,3.10,0.81,1.2
9,15785,0.7,1.1,34.1,58.7,48,3.94,0.56,1.4
10,15715,-1.8,1.2,30.5,49.8,47.6,3.23,0.81,1.1
10,15753,-1,2,24.8,48.3,45.7,2.52,1.32,1.3
10,15756,1.7,1.6,28.6,47.4,47.3,2.97,0.56,0.9
15,15675,6.5,0.8,29.2,48.4,46.1,3.42,0.81,1.1
15,15677,12.4,0,29.9,49.7,48.2,3.23,1.32,1.3
15,15682,5.2,0.6,28.3,46.7,52.2,3.23,0.56,1
15,15733,4.3,1.2,25.6,43.2,37,2.71,0.56,1.1
15,15797,0.2,1.8,26.1,55.8,46.8,2.65,0.81,0.9
16,15740,-2.5,2.6,26.5,42.5,31,2.13,1.07,1.3
16,15741,4.4,1,25,42,41.2,2.58,0.81,0.9
16,15750,6.6,0.9,23.5,39.8,41.4,2.71,0.81,1.4
16,15752,2.5,1.2,21.7,45,42.9,2.13,0.81,1.1
16,15798,0.5,1.4,26.9,51.8,52.5,2.84,0.56,0.9
17,15735,1,1.1,29,47.9,42.4,2.90,0.56,1.2
17,15757,-2.6,2.2,24.9,47.1,40.1,2.26,0.81,1.3
17,15759,0.6,2,25.3,44.9,38.6,2.39,0.81,1
17,15778,3.1,1.8,25.4,39.2,33.7,2.26,2.59,1.1
17,15800,0.8,2,26.5,46,37.6,1.87,0.81,1.2
18,15760,-6.6,3.1,27.9,51,48.6,3.48,0.05,1
18,15762,-5.8,3.2,27.1,47.4,47.1,2.19,0.30,1.2
18,15791,4,1.5,21.2,39.4,41.1,1.68,0.81,1.1
18,15808,4.4,1.1,23.5,48.7,39.4,2.52,1.32,1.4